reaction	minimum	maximum
FACOAL1822: atp_c + coa_c + lneldc_c --> amp_c + lneldccoa_c + ppi_c	[1000.]	[0.]
PIK4: atp_c + pail_cho_c --> adp_c + h_c + pail4p_cho_c	[1000.]	[0.]
SDHPTK: atp_c + sdhpt_c --> adp_c + h_c + s7p_c	[1000.]	[0.]
CHOLATEt3: atp_c + cholate_c + h2o_c --> adp_c + cholate_e + h_c + pi_c	[0.]	[0.]
SLCBK1: atp_c + sphgn_c --> adp_c + h_c + sph1p_c	[1000.]	[0.]
LYSTRS: atp_c + lys_L_c + trnalys_c --> amp_c + lystrna_c + ppi_c	[1000.]	[0.]
RETABCtc: atp_c + h2o_c + retinal_e --> adp_c + h_c + pi_c + retinal_c	[1000.]	[-4.04987609e-29]
FACOAL2252: atp_c + clpnd_c + coa_c --> amp_c + clpndcoa_c + ppi_c	[1000.]	[0.]
RTOTAL3FATPc: Rtotal3_e + atp_c + coa_c --> Rtotal3coa_c + amp_c + ppi_c	[1000.]	[0.]
RIBFLVte: atp_c + h2o_c + ribflv_c --> adp_c + h_c + pi_c + ribflv_e	[1000.]	[0.]
PI34P5K: atp_c + pail34p_cho_c --> adp_c + h_c + pail345p_cho_c	[1000.]	[0.]
DNDPt56m: atp_m + dctp_c --> atp_c + dctp_m	[1000.]	[0.]
PI3P4K: atp_c + pail3p_cho_c --> adp_c + h_c + pail34p_cho_c	[1000.]	[0.]
URIK1: atp_c + uri_c --> adp_c + h_c + ump_c	[1000.]	[0.]
r1522: atp_c + h2o_c + lgnc_c --> adp_c + h_c + lgnc_e + pi_c	[1000.]	[0.]
DHAK: atp_c + dha_c --> adp_c + dhap_c + h_c	[1000.]	[0.]
RTOTAL2FATPc: Rtotal2_e + atp_c + coa_c --> Rtotal2coa_c + amp_c + ppi_c	[1000.]	[0.]
biomass_prod: 29.83031 atp_c + 0.086971 chsterol_c + 0.002651 clpn_cho_c + dna_prod_n + 0.025686 glygn2_c + 29.83031 h2o_c + 0.0043 pa_cho_c + 0.007267 pail_cho_c + 0.052046 pchol_cho_c + 0.019935 pe_cho_c + 0.000589 pglyc_cho_c + prot_prod_c + 0.006579 ps_cho_c + rna_prod_c + 0.008543 sphmyln_cho_c + 0.004332 tag_cho_c + 0.022381 xolest2_cho_c --> 29.8303 adp_c + 29.8303 h_c + 29.8303 pi_c	[1000.]	[0.]
r0097: ac_c + atp_c + h_c --> HC01672_c + ppi_c	[-4.76138169e-13]	[0.]
PCt: atp_c + h2o_c + pchol_cho_c --> adp_c + h_c + pchol_cho_e + pi_c	[1000.]	[0.]
DNDPt57m: atp_m + dgtp_c --> atp_c + dgtp_m	[1000.]	[0.]
DOCOSACT: atp_c + coa_c + docosac_c --> amp_c + docoscoa_c + ppi_c	[1000.]	[0.]
OPAHir: 5oxpro_c + atp_c + 2.0 h2o_c --> adp_c + glu_L_c + h_c + pi_c	[1000.]	[0.]
OCCOAtcx: atp_c + h2o_c + occoa_c <=> adp_c + h_c + occoa_x + pi_c	[1000.]	[0.]
THRTRS: atp_c + thr_L_c + trnathr_c --> amp_c + ppi_c + thrtrna_c	[1000.]	[-1000.]
DOCOSCOAtxc: atp_c + docoscoa_c + h2o_c --> adp_c + docoscoa_x + h_c + pi_c	[1000.]	[0.]
DRBK: atp_c + drib_c --> 2dr5p_c + adp_c + h_c	[1000.]	[0.]
FACOAL1831: atp_c + coa_c + lnlncg_c --> amp_c + lnlncgcoa_c + ppi_c	[1000.]	[0.]
FPGS9: 10fthf6glu_c + atp_c + glu_L_c --> 10fthf7glu_c + adp_c + h_c + pi_c	[1000.]	[0.]
NACPRT: atp_c + h2o_c + nac_c + prpp_c <=> adp_c + nicrnt_c + pi_c + ppi_c	[166.66666667]	[0.]
BTNt3i: atp_c + btn_e + h2o_c + 2.0 na1_e --> adp_c + btn_c + h_c + 2.0 na1_c + pi_c	[1000.]	[-1000.]
GLCSGLT1le: atp_c + glc_D_e + h2o_c + 2.0 na1_e --> adp_c + glc_D_c + h_c + 2.0 na1_c + pi_c	[1000.]	[0.]
METAT: atp_c + h2o_c + met_L_c --> amet_c + pi_c + ppi_c	[1000.]	[0.]
GMPS2: atp_c + gln_L_c + h2o_c + xmp_c --> amp_c + glu_L_c + gmp_c + 2.0 h_c + ppi_c	[1000.]	[0.]
CERK: atp_c + crm_cho_c --> adp_c + crmp_cho_c + h_c	[1000.]	[0.]
PI5P3K: atp_c + pail5p_cho_c --> adp_c + h_c + pail35p_cho_c	[1000.]	[0.]
r1523: atp_c + h2o_c + hdcea_c --> adp_c + h_c + hdcea_e + pi_c	[1000.]	[0.]
DTMPK: atp_c + dtmp_c <=> adp_c + dtdp_c	[1000.]	[0.]
RE3345C: CE5343_c + atp_c + coa_c <=> CE5342_c + amp_c + ppi_c	[1000.]	[-1000.]
SPHK21c: atp_c + sphings_c --> adp_c + h_c + sphs1p_c	[0.]	[0.]
OLEICFATPtc: atp_c + coa_c + ocdcea_e --> amp_c + odecoa_c + ppi_c	[1000.]	[6.61466297e-12]
PROSTGE2t3: atp_c + h2o_c + prostge2_c --> adp_c + h_c + pi_c + prostge2_e	[1000.]	[0.]
ADSELK: adsel_c + atp_c --> 3padsel_c + adp_c + h_c	[1000.]	[0.]
CLPNDCOAtbc: atp_c + clpndcoa_c + h2o_c --> adp_c + clpndcoa_x + h_c + pi_c	[0.]	[0.]
RE3079C: CE2416_c + atp_c + coa_c <=> CE5126_c + amp_c + ppi_c	[1000.]	[0.]
r1528: atp_c + ddca_c + h2o_c --> adp_c + ddca_e + h_c + pi_c	[0.]	[0.]
HCARNS: 4abut_c + atp_c + his_L_c --> amp_c + h_c + hcarn_c + ppi_c	[1000.]	[0.]
GMHEPAT: atp_c + gmhep1p_c + h_c <=> adphep_DD_c + ppi_c	[1000.]	[0.]
TMNDNCCOAtcx: atp_c + h2o_c + tmndnccoa_c <=> adp_c + h_c + pi_c + tmndnccoa_x	[0.]	[0.]
r0993: C02528_c + atp_c + h2o_c --> C02528_e + adp_c + h_c + pi_c	[1000.]	[-1000.]
r1319: atp_c + h2o_c --> HC02111_c + adp_c + pi_c	[1000.]	[0.]
GCHOLAt3: atp_c + gchola_c + h2o_c --> adp_c + gchola_e + h_c + pi_c	[0.]	[0.]
r1527: atp_c + dca_c + h2o_c --> adp_c + dca_e + h_c + pi_c	[1000.]	[0.]
HKt: atp_c + h2o_c + k_e --> adp_c + h_e + k_c + pi_c	[1000.]	[0.]
ABC_TCDBd: atp_c + chedxch_c + h2o_c --> adp_c + chedxch_e + h_c + pi_c	[1000.]	[0.]
PMEVKc: 5pmev_c + atp_c --> 5dpmev_c + adp_c	[1000.]	[0.]
r1525: atp_c + dlnlcg_c + h2o_c --> adp_c + dlnlcg_e + h_c + pi_c	[1000.]	[0.]
GLNTRS: atp_c + gln_L_c + trnagln_c --> amp_c + glntrna_c + ppi_c	[1000.]	[0.]
FACOAL226: atp_c + coa_c + crvnc_c --> amp_c + c226coa_c + ppi_c	[1000.]	[0.]
ANDRSTRNGLCte: andrstrnglc_c + atp_c + h2o_c --> adp_c + andrstrnglc_e + h_c + pi_c	[1000.]	[0.]
r1526: HC02154_c + atp_c + h2o_c --> HC02154_e + adp_c + 2.0 h_c + pi_c	[1000.]	[0.]
KHK: atp_c + fru_c --> adp_c + f1p_c + h_c	[1000.]	[0.]
FACOAL224: adrn_c + atp_c + coa_c --> adrncoa_c + amp_c + ppi_c	[1000.]	[0.]
DOPAVESSEC: 2.0 atp_c + 3.0 dopa_c + 2.0 h2o_c --> 2.0 adp_c + 3.0 dopa_e + 2.0 h_c + 2.0 pi_c	[1000.]	[0.]
LINOFATPtc: atp_c + coa_c + lnlc_e --> amp_c + lnlccoa_c + ppi_c	[1000.]	[0.]
CYTK2: atp_c + dcmp_c <=> adp_c + dcdp_c	[1000.]	[0.]
DNDPt19m: atp_m + dudp_c --> atp_c + dudp_m	[1000.]	[-1000.]
DHCHOLESTANATEATP: atp_c + dhcholestanate_c + h2o_c --> adp_c + dhcholestanate_e + h_c + pi_c	[1000.]	[0.]
SCP21cx: atp_c + h2o_c + phytcoa_c --> adp_c + h_c + phytcoa_x + pi_c	[1000.]	[0.]
ADRNLPVESSEC: 3.0 adrnl_c + 2.0 atp_c + 2.0 h2o_c --> 2.0 adp_c + 3.0 adrnl_e + 2.0 h_c + 2.0 pi_c	[1000.]	[0.]
TRPTRS: atp_c + trnatrp_c + trp_L_c --> amp_c + h_c + ppi_c + trptrna_c	[333.33333333]	[0.]
PFK26: atp_c + f6p_c --> adp_c + f26bp_c + h_c	[1000.]	[0.]
DM_atp_c: atp_c + h2o_c --> adp_c + h_c + pi_c	[1000.]	[0.]
TRIOK: atp_c + glyald_c --> adp_c + g3p_c + h_c	[1000.]	[0.]
ESTRONEStabc: atp_c + estrones_c + h2o_c --> adp_c + estrones_e + h_c + pi_c	[1000.]	[0.]
TMDK1: atp_c + thymd_c --> adp_c + dtmp_c + h_c	[1000.]	[0.]
r0578: atp_c + ptth_c --> adp_c + h_c + pan4p_c	[1000.]	[0.]
GALK: atp_c + gal_c --> adp_c + gal1p_c + h_c	[1000.]	[0.]
LEUTRS: atp_c + leu_L_c + trnaleu_c --> amp_c + leutrna_c + ppi_c	[1000.]	[0.]
GTHS: atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c	[1000.]	[0.]
PHYQt: atp_c + h2o_c + phyQ_e --> adp_c + h_c + phyQ_c + pi_c	[1000.]	[0.]
DAGK160: 12dgr160_c + atp_c <=> adp_c + h_c + pa160_c	[1000.]	[0.]
r1529: atp_c + h2o_c + ttdca_c --> adp_c + h_c + pi_c + ttdca_e	[0.]	[0.]
4PYRDX: 4pyrdx_c + atp_c + h2o_c --> 4pyrdx_e + adp_c + h_c + pi_c	[1000.]	[0.]
PFK_3: atp_c + s7p_c --> adp_c + h_c + s17bp_c	[1000.]	[0.]
PSFLIP: atp_c + h2o_c + ps_cho_e --> adp_c + h_c + pi_c + ps_cho_c	[1000.]	[0.]
RBTLP: atp_c + rbt_c --> adp_c + h_c + rbt5p_c	[1000.]	[0.]
PPNCL3: 4ppan_c + atp_c + cys_L_c --> 4ppcys_c + amp_c + h_c + ppi_c	[1000.]	[0.]
r1162: atp_c + h2o_c + so4_c --> adp_c + h_c + pi_c + so4_e	[1000.]	[0.]
FACOAL1812: atp_c + coa_c + vacc_c --> amp_c + ppi_c + vacccoa_c	[1000.]	[0.]
CTPS1: atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c	[1000.]	[0.]
HEX7: atp_c + fru_c --> adp_c + f6p_c + h_c	[1000.]	[0.]
NDPK6: atp_c + dudp_c <=> adp_c + dutp_c	[1000.]	[0.]
FACOAL120i: atp_c + coa_c + ddca_c --> amp_c + ddcacoa_c + ppi_c	[1000.]	[-1000.]
MI13456PK: atp_c + mi13456p_c --> adp_c + h_c + minohp_c	[1000.]	[-1.77008084e-12]
PRAIS: atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c	[1000.]	[0.]
RE2635C: atp_c + coa_c + dchac_c <=> CE1589_c + amp_c + ppi_c	[1000.]	[-1.54167092e-13]
ACITL: atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c	[1000.]	[-1000.]
MI3456PK: atp_c + mi3456p_c --> adp_c + h_c + mi13456p_c	[1000.]	[0.]
PSFLIPm: atp_c + h2o_c + ps_cho_c --> adp_c + h_c + pi_c + ps_cho_m	[0.]	[0.]
FACOAL245_2: atp_c + coa_c + tetpent3_c --> amp_c + ppi_c + tetpent3coa_c	[1000.]	[0.]
r2497: arachd_c + atp_c + h2o_c --> adp_c + arachd_x + h_c + pi_c	[1000.]	[0.]
GLYTRS: atp_c + gly_c + trnagly_c --> amp_c + glytrna_c + ppi_c	[1000.]	[0.]
ATP1ter: adp_r + atp_c <=> adp_c + atp_r	[1000.]	[0.]
FACOAL240: atp_c + coa_c + lgnc_c --> amp_c + lgnccoa_c + ppi_c	[1000.]	[3.76756666e-12]
RE2782C: atp_c + sbt_D_c --> CE3075_c + adp_c + h_c	[1000.]	[0.]
CAMPt: atp_c + camp_c + h2o_c --> adp_c + camp_e + h_c + pi_c	[0.]	[0.]
r1252: atp_c + coa_c + hdcea_c --> amp_c + hdd2coa_c + ppi_c	[1000.]	[0.]
DLNLCGCOAtcx: atp_c + dlnlcgcoa_c + h2o_c <=> adp_c + dlnlcgcoa_x + h_c + pi_c	[1000.]	[0.]
ACGAMK: acgam_c + atp_c --> acgam6p_c + adp_c + h_c	[1000.]	[0.]
TMDPK: atp_c + thm_c --> amp_c + h_c + thmpp_c	[1000.]	[0.]
CUATPase: atp_c + cu2_c + h2o_c --> adp_c + cu2_e + h_e + pi_c	[1000.]	[0.]
r2517: atp_c + h2o_c + thcholstoic_c --> adp_c + h_c + pi_c + thcholstoic_x	[1000.]	[0.]
GK1: atp_c + gmp_c <=> adp_c + gdp_c	[1000.]	[0.]
RBFK: atp_c + ribflv_c --> adp_c + fmn_c + h_c	[1000.]	[-1000.]
GLYVESSEC: atp_c + 3.0 gly_c + h2o_c --> adp_c + 3.0 gly_e + h_c + pi_c	[1000.]	[0.]
COBS: 7mht_c + atp_c <=> adp_c + cob_c + h_c	[1000.]	[0.]
DMNONCOAtcx: atp_c + dmnoncoa_c + h2o_c <=> adp_c + dmnoncoa_x + h_c + pi_c	[0.]	[0.]
PFK: atp_c + f6p_c --> adp_c + fdp_c + h_c	[1000.]	[-1000.]
r0860: adp_c + atp_x <=> adp_x + atp_c	[1000.]	[0.]
ADPACDAc: adpac_c + atp_c + coa_c --> adpcoa_c + amp_c + ppi_c	[1000.]	[-1000.]
r2498: atp_c + h2o_c + hdca_c --> adp_c + h_c + hdca_x + pi_c	[1000.]	[0.]
MI134PK: atp_c + mi134p_c --> adp_c + h_c + mi1346p_c	[1000.]	[0.]
NaKt: atp_c + h2o_c + 2.0 k_e + 3.0 na1_c --> adp_c + h_c + 2.0 k_c + 3.0 na1_e + pi_c	[0.]	[0.]
FPGS5: 5dhf_c + atp_c + glu_L_c --> 6dhf_c + adp_c + h_c + pi_c	[1000.]	[0.]
FACOAL245_1: atp_c + coa_c + tetpent6_c --> amp_c + ppi_c + tetpent6coa_c	[200.]	[0.]
DPCOAK: atp_c + dpcoa_c --> adp_c + coa_c + h_c	[1000.]	[0.]
CAATPS: atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_e + h_e + pi_c	[1000.]	[0.]
GLNSP2: atp_c + nh4_c + uaaGgla_c <=> adp_c + h_c + pi_c + uaaGgtla_c	[1000.]	[0.]
ETHAK: atp_c + etha_c --> adp_c + ethamp_c + h_c	[0.]	[0.]
PEFLIPm: atp_c + h2o_c + pe_cho_c --> adp_c + h_c + pe_cho_m + pi_c	[1000.]	[0.]
RBK: atp_c + rib_D_c --> adp_c + h_c + r5p_c	[1000.]	[0.]
METTRS: atp_c + met_L_c + trnamet_c --> amp_c + mettrna_c + ppi_c	[1000.]	[0.]
ASCBSVCTtc: ascb_L_e + atp_c + h2o_c + 2.0 na1_e --> adp_c + ascb_L_c + h_c + 2.0 na1_c + pi_c	[1000.]	[0.]
GM4Pabc: atp_c + gm4p_c + h2o_c --> adp_c + gm4p_e + h_c + pi_c	[1000.]	[0.]
EICOSTETCOAtcx: atp_c + eicostetcoa_c + h2o_c <=> adp_c + eicostetcoa_x + h_c + pi_c	[0.]	[0.]
ACCOAL: atp_c + coa_c + ppa_c --> adp_c + pi_c + ppcoa_c	[1000.]	[0.]
FPGS2: 5thf_c + atp_c + glu_L_c --> 6thf_c + adp_c + h_c + pi_c	[1000.]	[0.]
NDPK7: atp_c + dcdp_c <=> adp_c + dctp_c	[200.]	[0.]
ACCOAC: accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c	[1000.]	[-1000.]
r2499: atp_c + h2o_c + ppcoa_c --> adp_c + h_c + pi_c + ppcoa_x	[1000.]	[0.]
FPGS: 4.0 atp_c + 4.0 glu_L_c + thf_c --> 5thf_c + 4.0 adp_c + 4.0 h_c + 4.0 pi_c	[1000.]	[0.]
TMDPPK: atp_c + thmpp_c --> adp_c + thmtp_c	[250.]	[0.]
ADSK: aps_c + atp_c --> adp_c + h_c + paps_c	[1000.]	[0.]
CRVNCOAtx: atp_c + crvncoa_c + h2o_c --> adp_c + crvncoa_x + h_c + pi_c	[1000.]	[2.01642206e-12]
FACOAL140i: atp_c + coa_c + ttdca_c --> amp_c + ppi_c + tdcoa_c	[0.]	[0.]
CYTDK1: atp_c + cytd_c --> adp_c + cmp_c + h_c	[1000.]	[0.]
FACOAL244_1: atp_c + coa_c + tettet6_c --> amp_c + ppi_c + tettet6coa_c	[1000.]	[0.]
LGNCCOAtcx: atp_c + h2o_c + lgnccoa_c --> adp_c + h_c + lgnccoa_x + pi_c	[1000.]	[0.]
MI145PK: atp_c + mi145p_c --> adp_c + h_c + mi1345p_c	[1000.]	[0.]
RBK_D: atp_c + rbl_D_c --> adp_c + h_c + ru5p_D_c	[1000.]	[0.]
r2505: HC02198_c + atp_c + h2o_c --> HC02198_e + adp_c + h_c + pi_c	[1000.]	[0.]
LAE: atp_c + h_c + lipoate_c --> lipamp_c + ppi_c	[1000.]	[0.]
CAATPasg: atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_g + h_g + pi_c	[0.]	[0.]
MI134PK_5: atp_c + mi134p_c --> adp_c + h_c + mi1345p_c	[0.]	[0.]
1MNCAMti: 1mncam_c + atp_c + h2o_c --> 1mncam_e + adp_c + h_c + pi_c	[1000.]	[0.]
DURIK1: atp_c + duri_c --> adp_c + dump_c + h_c	[1000.]	[0.]
RE1944C: atp_c + h_c + lipoate_c --> CE5656_c + ppi_c	[1000.]	[0.]
NDPK8: atp_c + dadp_c <=> adp_c + datp_c	[0.]	[0.]
FACOAL1821: atp_c + coa_c + lnlc_c --> amp_c + lnlccoa_c + ppi_c	[1000.]	[-1000.]
r1520: atp_c + h2o_c + lnlncg_c --> adp_c + h_c + lnlncg_e + pi_c	[1000.]	[0.]
r2501: atp_c + cholcoa_c + h2o_c --> adp_c + cholcoa_x + h_c + pi_c	[1000.]	[0.]
CKc: atp_c + creat_c <=> adp_c + h_c + pcreat_c	[1000.]	[0.]
DCK1i: atp_c + dcyt_c --> adp_c + dcmp_c + h_c	[1000.]	[-1000.]
FACOAL241: atp_c + coa_c + nrvnc_c --> amp_c + nrvnccoa_c + ppi_c	[1000.]	[0.]
ACCOAL2: ac_c + atp_c + h_c --> 5apade_c + ppi_c	[1000.]	[0.]
DCSPTN1COAtxc: atp_c + dcsptn1coa_c + h2o_c --> adp_c + dcsptn1coa_x + h_c + pi_c	[1000.]	[0.]
FPGS4: 4.0 atp_c + dhf_c + 4.0 glu_L_c --> 5dhf_c + 4.0 adp_c + 4.0 h_c + 4.0 pi_c	[1000.]	[0.]
r2502: atp_c + h2o_c + lnlccoa_c --> adp_c + h_c + lnlccoa_x + pi_c	[250.]	[0.]
RE0124C: atp_c + glcn_c --> 6pgc_c + adp_c + h_c	[1000.]	[-6.36664834e-14]
FPGS6: 6dhf_c + atp_c + glu_L_c --> 7dhf_c + adp_c + h_c + pi_c	[1000.]	[0.]
CTPS2: atp_c + gln_L_c + h2o_c + utp_c --> adp_c + ctp_c + glu_L_c + 2.0 h_c + pi_c	[166.66666667]	[0.]
FPGS3: 6thf_c + atp_c + glu_L_c --> 7thf_c + adp_c + h_c + pi_c	[1000.]	[0.]
ATP2ter: amp_r + atp_c <=> amp_c + atp_r	[166.66666667]	[0.]
RNAsyn: 0.104535 atp_c + 0.097355 ctp_c + 0.102935 gtp_c + 0.085376 utp_c --> 0.3902 ppi_c + rna_c	[1000.]	[1.11448709e-11]
r1519: atp_c + elaid_c + h2o_c --> adp_c + elaid_e + h_c + pi_c	[0.]	[0.]
FK: atp_c + fuc_L_c --> adp_c + fuc1p_L_c + h_c	[1000.]	[0.]
PRISTCOAtcx: atp_c + h2o_c + pristcoa_c --> adp_c + h_c + pi_c + pristcoa_x	[111.11111111]	[6.33247493e-14]
r2503: arachdcoa_c + atp_c + h2o_c --> adp_c + arachdcoa_x + h_c + pi_c	[1000.]	[0.]
CAATPaser: atp_c + 2.0 ca2_c + h2o_c --> adp_c + 2.0 ca2_r + h_r + pi_c	[1000.]	[0.]
ADK1: amp_c + atp_c <=> 2.0 adp_c	[500.]	[0.]
r1517: atp_c + h2o_c + strdnc_c --> adp_c + h_c + pi_c + strdnc_e	[1000.]	[-1000.]
PHETRS: atp_c + phe_L_c + trnaphe_c --> amp_c + phetrna_c + ppi_c	[1000.]	[0.]
FACOAL160i: atp_c + coa_c + hdca_c --> amp_c + pmtcoa_c + ppi_c	[1000.]	[9.49962725e-14]
NADS2: atp_c + dnad_c + gln_L_c + h2o_c --> amp_c + glu_L_c + h_c + nad_c + ppi_c	[1000.]	[0.]
DNDPt43m: atp_m + dutp_c --> atp_c + dutp_m	[1000.]	[0.]
PI45P3K: atp_c + pail45p_cho_c --> adp_c + h_c + pail345p_cho_c	[1000.]	[0.]
FACOAL150: atp_c + coa_c + ptdca_c --> amp_c + ppi_c + ptdcacoa_c	[1000.]	[0.]
DNDPt44m: atp_m + dttp_c --> atp_c + dttp_m	[1000.]	[0.]
TSTSTERONEGLCte: atp_c + h2o_c + tststeroneglc_c --> adp_c + h_c + pi_c + tststeroneglc_e	[1000.]	[0.]
r0853: atp_c + pi_m --> atp_m + pi_c	[1000.]	[0.]
UMPK: atp_c + ump_c <=> adp_c + udp_c	[1000.]	[0.]
5HTRPVESSEC: 3.0 5htrp_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 5htrp_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c	[1000.]	[-1000.]
FPGS7: 10fthf_c + 4.0 atp_c + 4.0 glu_L_c --> 10fthf5glu_c + 4.0 adp_c + 4.0 h_c + 4.0 pi_c	[333.33333333]	[0.]
SUBERICACT: atp_c + coa_c + subeac_c --> amp_c + ppi_c + sbcoa_c	[250.]	[0.]
CBPS: 2.0 atp_c + gln_L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu_L_c + 2.0 h_c + pi_c	[1000.]	[0.]
SELNPS: atp_c + h2o_c + seln_c --> amp_c + 2.0 h_c + pi_c + selnp_c	[1000.]	[0.]
GTHLabc: atp_c + gthleuc4_c + h2o_c --> adp_c + gthleuc4_e + h_c + pi_c	[1000.]	[0.]
RNMK: atp_c + rnam_c --> adp_c + h_c + nmn_c	[0.]	[0.]
ATPtn: atp_c <=> atp_n	[1000.]	[0.]
PNTOt5: atp_c + h2o_c + 2.0 na1_e + pnto_R_e --> adp_c + h_c + 2.0 na1_c + pi_c + pnto_R_c	[1000.]	[3.26810447e-13]
PRPPS: atp_c + r5p_c <=> amp_c + h_c + prpp_c	[1000.]	[0.]
ESTRIOLGLCte: atp_c + estriolglc_c + h2o_c --> adp_c + estriolglc_e + h_c + pi_c	[1000.]	[-1000.]
SEBACACT: atp_c + coa_c + sebacid_c --> amp_c + ppi_c + sebcoa_c	[1000.]	[0.]
TXB2t: atp_c + h2o_c + txb2_c --> adp_c + h_c + pi_c + txb2_e	[1000.]	[0.]
r1026: atp_c + dgchol_c + h2o_c --> adp_c + dgchol_e + h_c + pi_c	[1000.]	[0.]
AMANK: acmana_c + atp_c --> acmanap_c + adp_c + h_c	[1000.]	[0.]
PI4P5K: atp_c + pail4p_cho_c --> adp_c + h_c + pail45p_cho_c	[1000.]	[0.]
NDPK9: atp_c + idp_c <=> adp_c + itp_c	[1000.]	[0.]
ADNCYC: atp_c --> camp_c + ppi_c	[1000.]	[-1000.]
GLNS: atp_c + glu_L_c + nh4_c --> adp_c + gln_L_c + h_c + pi_c	[1000.]	[0.]
DADK1: atp_c + damp_c <=> adp_c + dadp_c	[1000.]	[0.]
MINOHPK: atp_c + minohp_c --> adp_c + ppmi12346p_c	[1000.]	[-1000.]
NDPK3: atp_c + cdp_c <=> adp_c + ctp_c	[1000.]	[0.]
DGK1: atp_c + dgmp_c <=> adp_c + dgdp_c	[1000.]	[-1000.]
FACOAL191: atp_c + coa_c + prist_c --> amp_c + ppi_c + pristcoa_c	[1000.]	[-1000.]
FTHFL: atp_c + for_c + thf_c --> 10fthf_c + adp_c + pi_c	[1000.]	[0.]
DNDPt13m: atp_m + dadp_c --> atp_c + dadp_m	[1000.]	[0.]
RE3335C: CE5179_c + atp_c + coa_c <=> CE5348_c + amp_c + ppi_c	[1000.]	[0.]
r0339: atp_c + glyc_R_c --> 3pg_c + adp_c + h_c	[0.]	[0.]
CHSTEROLtg: atp_c + chsterol_g + h2o_c --> adp_c + chsterol_c + h_c + pi_c	[1000.]	[0.]
FACOAL204: arachd_c + atp_c + coa_c --> amp_c + arachdcoa_c + ppi_c	[0.]	[0.]
ADNK1: adn_c + atp_c --> adp_c + amp_c + h_c	[1000.]	[0.]
FACOAL246_1: atp_c + coa_c + tethex3_c --> amp_c + ppi_c + tethex3coa_c	[1000.]	[0.]
PYDXK: atp_c + pydx_c --> adp_c + h_c + pydx5p_c	[1000.]	[0.]
FACOAL161: atp_c + coa_c + hdcea_c <=> amp_c + hdcoa_c + ppi_c	[1000.]	[0.]
FACOAL1811: atp_c + coa_c + vacc_c --> amp_c + octd11ecoa_c + ppi_c	[1000.]	[-1000.]
ACHVESSEC: 3.0 ach_c + 2.0 atp_c + 2.0 h2o_c --> 3.0 ach_e + 2.0 adp_c + 2.0 h_c + 2.0 pi_c	[1000.]	[0.]
r1116: atp_c <=> atp_e	[1000.]	[0.]
PGK: 3pg_c + atp_c <=> 13dpg_c + adp_c	[1000.]	[-1000.]
GLYCK2: atp_c + glyc_R_c --> 2pg_c + adp_c + h_c	[1000.]	[-1000.]
CYSTRS: atp_c + cys_L_c + trnacys_c --> amp_c + cystrna_c + ppi_c	[1000.]	[0.]
FACOAL170: atp_c + coa_c + hpdca_c --> amp_c + hpdcacoa_c + ppi_c	[1000.]	[2.96424131e-12]
FACOAL80i: atp_c + coa_c + octa_c --> amp_c + occoa_c + ppi_c	[1000.]	[1.04329944e-11]
MEVK1c: atp_c + mev_R_c --> 5pmev_c + adp_c + h_c	[1000.]	[0.]
GTHDNBabc: atp_c + gth24dnb_c + h2o_c --> adp_c + gth24dnb_e + h_c + pi_c	[1000.]	[0.]
FACOAL200: arach_c + atp_c + coa_c --> amp_c + arachcoa_c + ppi_c	[0.]	[0.]
FACOAL181i: atp_c + coa_c + ocdcea_c --> amp_c + odecoa_c + ppi_c	[1000.]	[0.]
FACOAL2042: atp_c + coa_c + eicostet_c --> amp_c + eicostetcoa_c + ppi_c	[1000.]	[0.]
DADNK: atp_c + dad_2_c --> adp_c + damp_c + h_c	[1000.]	[0.]
RTOTALFATPc: Rtotal_e + atp_c + coa_c --> Rtotalcoa_c + amp_c + ppi_c	[1000.]	[0.]
PYDAMK: atp_c + pydam_c --> adp_c + h_c + pyam5p_c	[1000.]	[0.]
C16txc: atp_c + h2o_c + pmtcoa_c --> adp_c + h_c + pi_c + pmtcoa_x	[1000.]	[0.]
PRFGS: atp_c + fgam_c + gln_L_c + h2o_c --> adp_c + fpram_c + glu_L_c + h_c + pi_c	[1000.]	[0.]
GALSGLT1le: atp_c + gal_e + h2o_c + 2.0 na1_e --> adp_c + gal_c + h_c + 2.0 na1_c + pi_c	[1000.]	[4.15259266e-14]
PYDXNK: atp_c + pydxn_c --> adp_c + h_c + pdx5p_c	[1000.]	[0.]
ARACHFATPc: arach_e + atp_c + coa_c --> amp_c + arachcoa_c + ppi_c	[1000.]	[0.]
ATPtx: atp_c <=> atp_x	[1000.]	[0.]
FACOAL180i: atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c	[1000.]	[-1000.]
